iter	Logloss
0	0.6722929822
1	0.6570539231
2	0.6410765211
3	0.6250446882
4	0.6100055403
5	0.5988100831
6	0.5895772537
7	0.5775548565
8	0.5665041013
9	0.555093422
10	0.5475919745
11	0.5400739141
12	0.5316357571
13	0.5242132891
14	0.515488878
15	0.5089104348
16	0.5021993582
17	0.4969359585
18	0.4930694959
19	0.4869428344
20	0.4816339482
21	0.4780126462
22	0.4720047591
23	0.4666034443
24	0.4612696595
25	0.4570136181
26	0.4536596363
27	0.4504405131
28	0.4475782466
29	0.4447888376
30	0.442044352
31	0.4393918168
32	0.4370348173
33	0.4330910639
34	0.4298095403
35	0.4276721973
36	0.4256761908
37	0.422878183
38	0.4210841199
39	0.417522261
40	0.4149966219
41	0.4122918288
42	0.4103742502
43	0.40795388
44	0.4061522457
45	0.4035504937
46	0.4016764225
47	0.4001498206
48	0.3984937077
49	0.3961343665
50	0.394250978
51	0.3927753596
52	0.3914001403
53	0.389310417
54	0.3869988237
55	0.384529679
56	0.3831341871
57	0.3814066899
58	0.3796671192
59	0.3785056087
60	0.3765087631
61	0.3757315398
62	0.3742562817
63	0.373172942
64	0.3710223626
65	0.3700294563
66	0.3687091537
67	0.3673912407
68	0.3658063604
69	0.3645528696
70	0.3629346286
71	0.3615883762
72	0.3608058067
73	0.3594125481
74	0.3581930623
75	0.3570511766
76	0.3549654197
77	0.3537573988
78	0.3525161779
79	0.3506879275
80	0.3495524138
81	0.3487740567
82	0.3480137133
83	0.3470837061
84	0.3460502254
85	0.3451543228
86	0.3438943772
87	0.342888219
88	0.3415535327
89	0.3406003641
90	0.339128975
91	0.3383438164
92	0.3373115196
93	0.336395771
94	0.3355889894
95	0.3346783117
96	0.3341384339
97	0.3332137363
98	0.3321663829
99	0.331371026
100	0.3307939621
101	0.3302705888
102	0.3295213743
103	0.32821177
104	0.3275738531
105	0.326592038
106	0.3260366279
107	0.3252635254
108	0.3244536863
109	0.3230716045
110	0.3219115914
111	0.3213348337
112	0.3203417649
113	0.3195136584
114	0.3191920636
115	0.3179116114
116	0.3172664065
117	0.3163375508
118	0.3152902319
119	0.3147243465
120	0.3137338938
121	0.3127789858
122	0.3119600727
123	0.3113109076
124	0.3107900077
125	0.3104220706
126	0.3091532897
127	0.3082920146
128	0.30751478
129	0.3070202098
130	0.3062878102
131	0.3052184074
132	0.3048122754
133	0.3042379925
134	0.3035775991
135	0.3027692529
136	0.3016308174
137	0.3012634629
138	0.3003242348
139	0.2999544217
140	0.2991669772
141	0.2983611597
142	0.2973248789
143	0.2966768496
144	0.2959934498
145	0.2952183311
146	0.2943280857
147	0.2932849374
148	0.2927525777
149	0.2924229764
150	0.2918323517
151	0.2911281442
152	0.2906304269
153	0.2897877142
154	0.2889257898
155	0.2884084893
156	0.2879022627
157	0.2871995406
158	0.2867987921
159	0.2864656546
160	0.2859117674
161	0.2849797547
162	0.2844862478
163	0.2834868412
164	0.2828638228
165	0.2823358022
166	0.2817563318
167	0.2813354706
168	0.2809183834
169	0.2805126711
170	0.2798140598
171	0.2792887185
172	0.2786973551
173	0.2783091796
174	0.2780313896
175	0.2774684609
176	0.2770298586
177	0.2763322311
178	0.2759469112
179	0.2756240868
180	0.2752478072
181	0.2746415115
182	0.2743427678
183	0.2733321995
184	0.2728474722
185	0.2723970746
186	0.2718915397
187	0.2711860382
188	0.2708259234
189	0.2700063328
190	0.2697462506
191	0.2693469894
192	0.2688885126
193	0.2680001029
194	0.2675508912
195	0.2670285229
196	0.2665948879
197	0.2660807964
198	0.2652405508
199	0.2647571385
200	0.2641290441
201	0.2632583806
202	0.2628743993
203	0.2625296747
204	0.2620471892
205	0.261635496
206	0.2612363469
207	0.2606317242
208	0.2601926321
209	0.2597407585
210	0.25933535
211	0.2587408249
212	0.2582408097
213	0.2578182243
214	0.2572608793
215	0.2567368896
216	0.2561410689
217	0.2557779512
218	0.2553212983
219	0.2544985845
220	0.2535977109
221	0.2528674624
222	0.2525795987
223	0.2521722209
224	0.2518686488
225	0.2513839533
226	0.2510323161
227	0.2507026695
228	0.2504275325
229	0.249925092
230	0.2495595608
231	0.249114095
232	0.2484994658
233	0.2476735381
234	0.2474083785
235	0.2466442172
236	0.2461245458
