iter	Passed	Remaining
0	162	81281
1	166	41358
2	168	27963
3	172	21350
4	175	17384
5	178	14674
6	180	12733
7	183	11283
8	186	10185
9	189	9289
10	192	8544
11	194	7923
12	197	7395
13	199	6942
14	203	6564
15	205	6220
16	208	5915
17	210	5643
18	213	5402
19	216	5184
20	218	4989
21	221	4810
22	224	4651
23	226	4501
24	229	4361
25	232	4238
26	236	4138
27	239	4031
28	241	3928
29	244	3829
30	247	3739
31	249	3653
32	252	3579
33	255	3502
34	258	3433
35	261	3373
36	264	3314
37	267	3257
38	270	3198
39	273	3144
40	276	3090
41	278	3039
42	281	2990
43	284	2947
44	287	2902
45	289	2858
46	292	2818
47	295	2778
48	297	2740
49	300	2706
50	303	2670
51	306	2636
52	308	2603
53	311	2571
54	313	2539
55	316	2510
56	319	2481
57	322	2454
58	324	2426
59	327	2400
60	329	2374
61	332	2351
62	335	2326
63	338	2303
64	340	2280
65	343	2257
66	345	2235
67	348	2214
68	351	2194
69	353	2174
70	356	2154
71	359	2134
72	361	2116
73	364	2097
74	367	2080
75	369	2062
76	372	2045
77	374	2028
78	377	2012
79	380	1995
80	383	1982
81	385	1967
82	388	1952
83	391	1937
84	393	1922
85	396	1909
86	400	1901
87	403	1890
88	406	1877
89	409	1863
90	412	1851
91	419	1861
92	422	1848
93	425	1835
94	436	1860
95	439	1850
96	446	1855
97	451	1850
98	454	1840
99	457	1830
100	460	1820
101	464	1812
102	467	1802
103	470	1793
104	478	1801
105	481	1790
106	484	1778
107	486	1767
108	499	1793
109	507	1797
110	510	1789
111	514	1780
112	517	1771
113	521	1765
114	525	1759
115	534	1768
116	537	1758
117	539	1747
118	542	1737
119	545	1727
120	548	1717
121	561	1739
122	568	1741
123	570	1731
124	573	1720
125	576	1710
126	579	1701
127	582	1692
128	585	1683
129	588	1674
130	591	1666
131	594	1657
132	597	1647
133	599	1638
134	602	1628
135	604	1619
136	607	1609
137	610	1602
138	613	1593
139	615	1583
140	618	1574
141	620	1565
142	623	1556
143	626	1549
144	629	1540
145	631	1531
146	634	1523
147	637	1515
148	639	1507
149	642	1499
150	645	1491
151	648	1483
152	650	1475
153	653	1467
154	655	1459
155	658	1452
156	661	1444
157	663	1437
158	666	1429
159	669	1422
160	671	1414
161	674	1407
162	677	1400
163	680	1393
164	682	1386
165	686	1381
166	689	1374
167	692	1368
168	695	1361
169	697	1354
170	700	1348
171	703	1341
172	706	1335
173	709	1328
174	711	1321
175	714	1315
176	717	1308
177	719	1301
178	722	1295
179	725	1288
180	727	1282
181	730	1276
182	733	1270
183	736	1264
184	739	1258
185	741	1252
186	744	1245
187	746	1239
188	749	1233
189	752	1226
190	754	1220
191	757	1214
192	759	1208
193	762	1202
194	765	1196
195	767	1190
196	770	1184
197	773	1179
198	775	1173
199	778	1167
200	781	1161
201	783	1156
202	786	1150
203	789	1145
204	792	1140
205	797	1137
206	801	1134
207	804	1129
208	808	1125
209	811	1120
210	813	1114
211	816	1109
212	819	1103
213	822	1099
214	825	1093
215	827	1088
216	830	1082
217	832	1077
218	835	1072
219	838	1067
220	841	1062
221	844	1056
222	846	1051
223	849	1046
224	852	1041
225	854	1036
226	857	1031
227	860	1026
228	862	1021
229	865	1016
230	868	1011
231	871	1006
232	873	1001
233	876	996
234	878	991
235	881	986
236	884	981
237	887	976
238	889	971
239	892	966
240	895	961
241	897	957
242	900	952
243	903	947
244	905	942
245	908	938
246	911	933
247	913	928
248	916	923
249	919	919
250	921	914
251	924	909
252	927	905
253	930	901
254	933	896
255	935	892
256	938	887
257	941	882
258	944	879
259	947	874
260	950	870
261	953	865
262	955	861
263	958	856
264	961	852
265	963	847
266	966	843
267	969	839
268	972	834
269	974	830
270	977	826
271	980	821
272	983	817
273	985	813
274	988	809
275	991	805
276	994	800
277	997	796
278	1000	792
279	1003	788
280	1005	783
281	1008	779
282	1010	775
283	1013	770
284	1016	766
285	1019	762
286	1021	758
287	1024	753
288	1026	749
289	1029	745
290	1032	741
291	1035	737
292	1038	733
293	1041	729
294	1043	725
295	1046	721
296	1049	717
297	1052	713
298	1054	709
299	1057	704
300	1059	700
301	1062	696
302	1065	692
303	1068	688
304	1071	684
305	1073	680
306	1076	676
307	1079	672
308	1082	669
309	1084	664
310	1087	660
311	1090	656
312	1092	652
313	1095	648
314	1098	645
315	1101	641
316	1103	637
317	1106	633
318	1109	629
319	1111	625
320	1114	621
321	1117	617
322	1119	613
323	1122	609
324	1125	605
325	1127	601
326	1130	598
327	1133	594
328	1135	590
329	1138	586
330	1141	582
331	1144	579
332	1147	575
333	1149	571
334	1152	567
335	1155	563
336	1157	559
337	1160	556
338	1163	552
339	1165	548
340	1168	544
341	1171	541
342	1173	537
343	1176	533
344	1179	529
345	1181	526
